canonical_stable_id,canonical_channel_name,country,epg_provider,epg_id,epg_source_url,channel_number,category,subcategory,include
us:cbs-kcal-los-angeles,CBS KCAL Los Angeles,US,EPGShare,kcal.los.angeles.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:cbs-sports-network,CBS Sports Network,US,EPGShare,cbs.sports.network.usa.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Sports,Sports,true
uk:challenge,Challenge,UK,EPGShare,Challenge.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Game Shows,true
uk:channel-4,Channel 4,UK,EPGShare,Channel.4.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Free-to-Air,true
uk:channel-5,Channel 5,UK,EPGShare,Channel.5.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Free-to-Air,true
us:charge,Charge!,US,EPGShare,charge.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:cheddar-news,Cheddar News,US,EPGShare,cheddar.news.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
ca:chek,CHEK,Canada,EPGShare,chek.tv.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Free-to-Air,true
us:cinemax,Cinemax,US,EPGShare,cinemax.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Movies,Movies & Series,true
us:classic-arts-showcase,Classic Arts Showcase,US,EPGShare,classic.arts.showcase.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:cleo-tv,Cleo TV,US,EPGShare,cleo.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Lifestyle & Culture,Lifestyle,true
uk:clubland,Clubland,UK,EPGShare,Clubland.TV.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Music,Music,true
us:cmt,CMT,US,EPGShare,cmt.us.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Music,Music,true
uk:cnbc,CNBC,UK,EPGShare,CNBC.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,News & Business,Business & Finance,true
us:cnbc,CNBC,US,EPGShare,cnbc.usa.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:cnbc-world,CNBC World,US,EPGShare,cnbc.world.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:cnn-international-north-america,CNN International North America,US,EPGShare,cnn.international.north.america.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
uk:cnn,CNN,UK,EPGShare,CNN.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,News & Business,News,true
us:cnn,CNN,US,EPGShare,cnn.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
za:comedy-central,Comedy Central,South Africa,EPGShare,Comedy.Central.za,https://epgshare01.online/epgshare01/epg_ripper_ZA1.xml.gz,,General Entertainment,Comedy,true
uk:comedy-central,Comedy Central,UK,EPGShare,ComedyCentral.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Comedy,true
us:comedy-central,Comedy Central,US,EPGShare,comedy.central.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Comedy,true
ca:comedy,Comedy,Canada,EPGShare,comedy.network.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Comedy,true
uk:comedyxtra,ComedyXtra,UK,EPGShare,ComedyXtra.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Comedy,true
us:comet,Comet,US,EPGShare,comet.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:cooking-channel,Cooking Channel,Canada,EPGShare,cooking.channel.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Lifestyle & Culture,Food,true
us:cooking-channel,Cooking Channel,US,EPGShare,the.cooking.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Lifestyle & Culture,Lifestyle,true
us:cornerstone-television-network,Cornerstone Television Network,US,EPGShare,cornerstone.television.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Religion,Religion,true
ca:cottage-life,Cottage Life,Canada,EPGShare,cottage.life.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Lifestyle & Culture,Home & Lifestyle,true
us:court-tv,Court TV,US,EPGShare,court.tv.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:court-tv-mystery,Court TV Mystery,US,EPGShare,court.tv.mystery.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
us:cowboy-channel,Cowboy Channel,US,EPGShare,the.cowboy.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Lifestyle & Culture,Lifestyle,true
us:cozi-tv,Cozi TV,US,EPGShare,cozi.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:crave-1,Crave 1,Canada,EPGShare,crave1.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Drama & Entertainment,true
ca:crave-2,Crave 2,Canada,EPGShare,crave2.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Drama & Entertainment,true
ca:crave-3,Crave 3,Canada,EPGShare,crave3.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Drama & Entertainment,true
ca:crave-4,Crave 4,Canada,EPGShare,crave4.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Drama & Entertainment,true
ca:crime-plus-investigation,Crime + Investigation,Canada,EPGShare,crime.investigation.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Crime,true
uk:crime-investigation,Crime + Investigation,UK,EPGShare,Crime+Inv.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Crime,true
us:c-span,C-SPAN,US,EPGShare,cspan.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:c-span2,C-SPAN2,US,EPGShare,c.span.2.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:c-span3,C-SPAN3,US,EPGShare,c.span.3.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,News & Business,News,true
us:christian-television-network,Christian Television Network,US,EPGShare,ctn.christian.television.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Religion,Religion,true
ca:ctv-life-channel,CTV Life Channel,Canada,EPGShare,ctv.life.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Lifestyle & Culture,Lifestyle,true
ca:ctv-sci-fi-channel,CTV Sci-Fi Channel,Canada,EPGShare,ctv.sci.fi.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Sci-Fi,true
us:dabl,Dabl,US,EPGShare,dabl.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Lifestyle & Culture,Lifestyle,true
uk:dave,Dave,UK,EPGShare,U.and.Dave.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Comedy,true
za:daystar,Daystar,South Africa,EPGShare,Day.Star.za,https://epgshare01.online/epgshare01/epg_ripper_ZA1.xml.gz,,Religion,Christian,true
us:daystar,Daystar,US,EPGShare,daystar.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Religion,Religion,true
us:decades,DECADES,US,EPGShare,decades.network.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:dejaview,DejaView,Canada,EPGShare,deja.view.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Classic Entertainment,true
us:destination-america,Destination America,US,EPGShare,destination.america.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
us:discovery-channel,Discovery Channel,US,EPGShare,discovery.channel.us.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
ca:discovery-channel,Discovery Channel,Canada,EPGShare,discovery.channel.can.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Documentary / Factual,true
us:discovery-family,Discovery Family,US,EPGShare,discovery.family.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
uk:discovery-history,Discovery History,UK,EPGShare,Disc.History.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,History,true
us:discovery-life,Discovery Life,US,EPGShare,discovery.life.channel.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Documentary,Documentary / Factual,true
ca:discovery-science,Discovery Science,Canada,EPGShare,discovery.science.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Documentary / Factual,true
uk:discovery-science,Discovery Science,UK,EPGShare,Disc.Science.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Science,true
uk:discovery-turbo,Discovery Turbo,UK,EPGShare,Disc.Turbo.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Automotive,true
uk:discovery-channel,Discovery Channel,UK,EPGShare,Discovery.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Science & Nature,true
ca:discovery-velocity,Discovery Velocity,Canada,EPGShare,discovery.velocity.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Documentary / Factual,true
ca:disney-channel,Disney Channel,Canada,EPGShare,disney.channel.canada.east.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Kids & Teen,Kids,true
us:disney-channel,Disney Channel,US,EPGShare,disney.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
us:disney-junior,Disney Junior,US,EPGShare,disney.junior.usa.east.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
ca:disney-junior,Disney Junior,Canada,EPGShare,disney.junior.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Kids & Teen,Kids,true
us:disney-xd,Disney XD,US,EPGShare,disney.xd.usa.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
ca:diy-network,DIY Network,Canada,EPGShare,do.it.yourself.network.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Lifestyle & Culture,Home & DIY,true
uk:dmax,DMAX,UK,EPGShare,DMAX.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Factual & Reality,true
us:diy-network,DIY Network,US,EPGShare,do.it.yourself.network.usa.east.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
ca:documentary-channel,Documentary Channel,Canada,EPGShare,documentary.channel.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Documentary,Documentary,true
us:dogtv,DOGTV,US,EPGShare,dog.tv.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,Kids & Teen,Kids,true
uk:drama,Drama,UK,EPGShare,U.and.Drama.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Drama,true
ca:dtour,DTOUR,Canada,EPGShare,dtour.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,Lifestyle & Culture,Travel & Lifestyle,true
us:dw,DW,US,EPGShare,dw.english.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,International,Spanish / International,true
ca:e,E!,Canada,EPGShare,e.canada.ca2,https://epgshare01.online/epgshare01/epg_ripper_CA2.xml.gz,,General Entertainment,Entertainment,true
us:e,E!,US,EPGShare,e.entertainment.usa.eastern.us2,https://epgshare01.online/epgshare01/epg_ripper_US2.xml.gz,,General Entertainment,Entertainment,true
uk:e,E!,UK,EPGShare,E!.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
za:e-tv,e.tv,South Africa,EPGShare,e.TV.HD.za,https://epgshare01.online/epgshare01/epg_ripper_ZA1.xml.gz,,General Entertainment,Free-to-Air,true
za:e-tv-extra,e.tv Extra,South Africa,EPGShare,eExtra HD.za,https://epgshare01.online/epgshare01/epg_ripper_ZA1.xml.gz,,General Entertainment,Local Entertainment,true
uk:e4,E4,UK,EPGShare,E4.HD.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,General Entertainment,Entertainment,true
uk:eden,Eden,UK,EPGShare,U.and.Eden.uk,https://epgshare01.online/epgshare01/epg_ripper_UK1.xml.gz,,Documentary,Nature,true
